Município;Sigla UF;Região;Mês/Ano;Vítima
Acauã;PI;NORDESTE;jan-18;0
Agricolândia;PI;NORDESTE;jan-18;0
Água Branca;PI;NORDESTE;jan-18;0
Alagoinha Do Piauí;PI;NORDESTE;jan-18;0
Alegrete Do Piauí;PI;NORDESTE;jan-18;0
Alto Longá;PI;NORDESTE;jan-18;1
Altos;PI;NORDESTE;jan-18;0
Alvorada Do Gurguéia;PI;NORDESTE;jan-18;0
Amarante;PI;NORDESTE;jan-18;0
Angical Do Piauí;PI;NORDESTE;jan-18;0
Anísio De Abreu;PI;NORDESTE;jan-18;0
Antônio Almeida;PI;NORDESTE;jan-18;0
Aroazes;PI;NORDESTE;jan-18;0
Aroeiras Do Itaim;PI;NORDESTE;jan-18;0
Arraial;PI;NORDESTE;jan-18;0
Assunção Do Piauí;PI;NORDESTE;jan-18;0
Avelino Lopes;PI;NORDESTE;jan-18;0
Baixa Grande Do Ribeiro;PI;NORDESTE;jan-18;0
Barra D'Alcântara;PI;NORDESTE;jan-18;0
Barras;PI;NORDESTE;jan-18;0
Barreiras Do Piauí;PI;NORDESTE;jan-18;0
Barro Duro;PI;NORDESTE;jan-18;0
Batalha;PI;NORDESTE;jan-18;1
Bela Vista Do Piauí;PI;NORDESTE;jan-18;0
Belém Do Piauí;PI;NORDESTE;jan-18;0
Beneditinos;PI;NORDESTE;jan-18;0
Bertolínia;PI;NORDESTE;jan-18;0
Betânia Do Piauí;PI;NORDESTE;jan-18;0
Boa Hora;PI;NORDESTE;jan-18;0
Bocaina;PI;NORDESTE;jan-18;0
Bom Jesus;PI;NORDESTE;jan-18;0
Bom Princípio Do Piauí;PI;NORDESTE;jan-18;0
Bonfim Do Piauí;PI;NORDESTE;jan-18;0
Boqueirão Do Piauí;PI;NORDESTE;jan-18;0
Brasileira;PI;NORDESTE;jan-18;0
Brejo Do Piauí;PI;NORDESTE;jan-18;0
Buriti Dos Lopes;PI;NORDESTE;jan-18;0
Buriti Dos Montes;PI;NORDESTE;jan-18;0
Cabeceiras Do Piauí;PI;NORDESTE;jan-18;0
Cajazeiras Do Piauí;PI;NORDESTE;jan-18;0
Cajueiro Da Praia;PI;NORDESTE;jan-18;2
Caldeirão Grande Do Piauí;PI;NORDESTE;jan-18;0
Campinas Do Piauí;PI;NORDESTE;jan-18;0
Campo Alegre Do Fidalgo;PI;NORDESTE;jan-18;0
Campo Grande Do Piauí;PI;NORDESTE;jan-18;0
Campo Largo Do Piauí;PI;NORDESTE;jan-18;0
Campo Maior;PI;NORDESTE;jan-18;1
Canavieira;PI;NORDESTE;jan-18;0
Canto Do Buriti;PI;NORDESTE;jan-18;1
Capitão De Campos;PI;NORDESTE;jan-18;0
Capitão Gervásio Oliveira;PI;NORDESTE;jan-18;0
Caracol;PI;NORDESTE;jan-18;0
Caraúbas Do Piauí;PI;NORDESTE;jan-18;0
Caridade Do Piauí;PI;NORDESTE;jan-18;0
Castelo Do Piauí;PI;NORDESTE;jan-18;0
Caxingó;PI;NORDESTE;jan-18;0
Cocal;PI;NORDESTE;jan-18;0
Cocal De Telha;PI;NORDESTE;jan-18;0
Cocal Dos Alves;PI;NORDESTE;jan-18;0
Coivaras;PI;NORDESTE;jan-18;0
Colônia Do Gurguéia;PI;NORDESTE;jan-18;0
Colônia Do Piauí;PI;NORDESTE;jan-18;0
Conceição Do Canindé;PI;NORDESTE;jan-18;0
Coronel José Dias;PI;NORDESTE;jan-18;0
Corrente;PI;NORDESTE;jan-18;0
Cristalândia Do Piauí;PI;NORDESTE;jan-18;0
Cristino Castro;PI;NORDESTE;jan-18;0
Curimatá;PI;NORDESTE;jan-18;0
Currais;PI;NORDESTE;jan-18;0
Curralinhos;PI;NORDESTE;jan-18;0
Curral Novo Do Piauí;PI;NORDESTE;jan-18;0
Demerval Lobão;PI;NORDESTE;jan-18;0
Dirceu Arcoverde;PI;NORDESTE;jan-18;0
Dom Expedito Lopes;PI;NORDESTE;jan-18;0
Domingos Mourão;PI;NORDESTE;jan-18;0
Dom Inocêncio;PI;NORDESTE;jan-18;0
Elesbão Veloso;PI;NORDESTE;jan-18;0
Eliseu Martins;PI;NORDESTE;jan-18;0
Esperantina;PI;NORDESTE;jan-18;0
Fartura Do Piauí;PI;NORDESTE;jan-18;0
Flores Do Piauí;PI;NORDESTE;jan-18;1
Floresta Do Piauí;PI;NORDESTE;jan-18;0
Floriano;PI;NORDESTE;jan-18;1
Francinópolis;PI;NORDESTE;jan-18;0
Francisco Ayres;PI;NORDESTE;jan-18;0
Francisco Macedo;PI;NORDESTE;jan-18;0
Francisco Santos;PI;NORDESTE;jan-18;0
Fronteiras;PI;NORDESTE;jan-18;0
Geminiano;PI;NORDESTE;jan-18;0
Gilbués;PI;NORDESTE;jan-18;0
Guadalupe;PI;NORDESTE;jan-18;1
Guaribas;PI;NORDESTE;jan-18;0
Hugo Napoleão;PI;NORDESTE;jan-18;0
Ilha Grande;PI;NORDESTE;jan-18;0
Inhuma;PI;NORDESTE;jan-18;0
Ipiranga Do Piauí;PI;NORDESTE;jan-18;0
Isaías Coelho;PI;NORDESTE;jan-18;0
Itainópolis;PI;NORDESTE;jan-18;0
Itaueira;PI;NORDESTE;jan-18;1
Jacobina Do Piauí;PI;NORDESTE;jan-18;1
Jaicós;PI;NORDESTE;jan-18;0
Jardim Do Mulato;PI;NORDESTE;jan-18;0
Jatobá Do Piauí;PI;NORDESTE;jan-18;0
Jerumenha;PI;NORDESTE;jan-18;0
João Costa;PI;NORDESTE;jan-18;0
Joaquim Pires;PI;NORDESTE;jan-18;0
Joca Marques;PI;NORDESTE;jan-18;0
José De Freitas;PI;NORDESTE;jan-18;2
Juazeiro Do Piauí;PI;NORDESTE;jan-18;0
Júlio Borges;PI;NORDESTE;jan-18;0
Jurema;PI;NORDESTE;jan-18;0
Lagoinha Do Piauí;PI;NORDESTE;jan-18;0
Lagoa Alegre;PI;NORDESTE;jan-18;0
Lagoa Do Barro Do Piauí;PI;NORDESTE;jan-18;0
Lagoa De São Francisco;PI;NORDESTE;jan-18;0
Lagoa Do Piauí;PI;NORDESTE;jan-18;0
Lagoa Do Sítio;PI;NORDESTE;jan-18;0
Landri Sales;PI;NORDESTE;jan-18;0
Luís Correia;PI;NORDESTE;jan-18;1
Luzilândia;PI;NORDESTE;jan-18;0
Madeiro;PI;NORDESTE;jan-18;0
Manoel Emídio;PI;NORDESTE;jan-18;0
Marcolândia;PI;NORDESTE;jan-18;0
Marcos Parente;PI;NORDESTE;jan-18;0
Massapê Do Piauí;PI;NORDESTE;jan-18;0
Matias Olímpio;PI;NORDESTE;jan-18;0
Miguel Alves;PI;NORDESTE;jan-18;0
Miguel Leão;PI;NORDESTE;jan-18;0
Milton Brandão;PI;NORDESTE;jan-18;0
Monsenhor Gil;PI;NORDESTE;jan-18;0
Monsenhor Hipólito;PI;NORDESTE;jan-18;0
Monte Alegre Do Piauí;PI;NORDESTE;jan-18;0
Morro Cabeça No Tempo;PI;NORDESTE;jan-18;1
Morro Do Chapéu Do Piauí;PI;NORDESTE;jan-18;0
Murici Dos Portelas;PI;NORDESTE;jan-18;0
Nazaré Do Piauí;PI;NORDESTE;jan-18;0
Nazária;PI;NORDESTE;jan-18;0
Nossa Senhora De Nazaré;PI;NORDESTE;jan-18;0
Nossa Senhora Dos Remédios;PI;NORDESTE;jan-18;0
Novo Oriente Do Piauí;PI;NORDESTE;jan-18;0
Novo Santo Antônio;PI;NORDESTE;jan-18;0
Oeiras;PI;NORDESTE;jan-18;1
Olho D'Água Do Piauí;PI;NORDESTE;jan-18;0
Padre Marcos;PI;NORDESTE;jan-18;0
Paes Landim;PI;NORDESTE;jan-18;0
Pajeú Do Piauí;PI;NORDESTE;jan-18;0
Palmeira Do Piauí;PI;NORDESTE;jan-18;1
Palmeirais;PI;NORDESTE;jan-18;0
Paquetá;PI;NORDESTE;jan-18;0
Parnaguá;PI;NORDESTE;jan-18;0
Parnaíba;PI;NORDESTE;jan-18;4
Passagem Franca Do Piauí;PI;NORDESTE;jan-18;0
Patos Do Piauí;PI;NORDESTE;jan-18;0
Pau D'Arco Do Piauí;PI;NORDESTE;jan-18;0
Paulistana;PI;NORDESTE;jan-18;0
Pavussu;PI;NORDESTE;jan-18;0
Pedro Ii;PI;NORDESTE;jan-18;0
Pedro Laurentino;PI;NORDESTE;jan-18;0
Nova Santa Rita;PI;NORDESTE;jan-18;0
Picos;PI;NORDESTE;jan-18;0
Pimenteiras;PI;NORDESTE;jan-18;0
Pio Ix;PI;NORDESTE;jan-18;0
Piracuruca;PI;NORDESTE;jan-18;1
Piripiri;PI;NORDESTE;jan-18;1
Porto;PI;NORDESTE;jan-18;0
Porto Alegre Do Piauí;PI;NORDESTE;jan-18;0
Prata Do Piauí;PI;NORDESTE;jan-18;0
Queimada Nova;PI;NORDESTE;jan-18;0
Redenção Do Gurguéia;PI;NORDESTE;jan-18;0
Regeneração;PI;NORDESTE;jan-18;0
Riacho Frio;PI;NORDESTE;jan-18;0
Ribeira Do Piauí;PI;NORDESTE;jan-18;0
Ribeiro Gonçalves;PI;NORDESTE;jan-18;0
Rio Grande Do Piauí;PI;NORDESTE;jan-18;0
Santa Cruz Do Piauí;PI;NORDESTE;jan-18;0
Santa Cruz Dos Milagres;PI;NORDESTE;jan-18;0
Santa Filomena;PI;NORDESTE;jan-18;0
Santa Luz;PI;NORDESTE;jan-18;0
Santana Do Piauí;PI;NORDESTE;jan-18;0
Santa Rosa Do Piauí;PI;NORDESTE;jan-18;0
Santo Antônio De Lisboa;PI;NORDESTE;jan-18;0
Santo Antônio Dos Milagres;PI;NORDESTE;jan-18;0
Santo Inácio Do Piauí;PI;NORDESTE;jan-18;0
São Braz Do Piauí;PI;NORDESTE;jan-18;1
São Félix Do Piauí;PI;NORDESTE;jan-18;0
São Francisco De Assis Do Piauí;PI;NORDESTE;jan-18;0
São Francisco Do Piauí;PI;NORDESTE;jan-18;0
São Gonçalo Do Gurguéia;PI;NORDESTE;jan-18;0
São Gonçalo Do Piauí;PI;NORDESTE;jan-18;0
São João Da Canabrava;PI;NORDESTE;jan-18;0
São João Da Fronteira;PI;NORDESTE;jan-18;0
São João Da Serra;PI;NORDESTE;jan-18;1
São João Da Varjota;PI;NORDESTE;jan-18;0
São João Do Arraial;PI;NORDESTE;jan-18;0
São João Do Piauí;PI;NORDESTE;jan-18;0
São José Do Divino;PI;NORDESTE;jan-18;0
São José Do Peixe;PI;NORDESTE;jan-18;0
São José Do Piauí;PI;NORDESTE;jan-18;0
São Julião;PI;NORDESTE;jan-18;0
São Lourenço Do Piauí;PI;NORDESTE;jan-18;0
São Luis Do Piauí;PI;NORDESTE;jan-18;0
São Miguel Da Baixa Grande;PI;NORDESTE;jan-18;0
São Miguel Do Fidalgo;PI;NORDESTE;jan-18;0
São Miguel Do Tapuio;PI;NORDESTE;jan-18;0
São Pedro Do Piauí;PI;NORDESTE;jan-18;0
São Raimundo Nonato;PI;NORDESTE;jan-18;1
Sebastião Barros;PI;NORDESTE;jan-18;0
Sebastião Leal;PI;NORDESTE;jan-18;0
Sigefredo Pacheco;PI;NORDESTE;jan-18;0
Simões;PI;NORDESTE;jan-18;0
Simplício Mendes;PI;NORDESTE;jan-18;0
Socorro Do Piauí;PI;NORDESTE;jan-18;0
Sussuapara;PI;NORDESTE;jan-18;0
Tamboril Do Piauí;PI;NORDESTE;jan-18;0
Tanque Do Piauí;PI;NORDESTE;jan-18;0
Teresina;PI;NORDESTE;jan-18;22
União;PI;NORDESTE;jan-18;1
Uruçuí;PI;NORDESTE;jan-18;0
Valença Do Piauí;PI;NORDESTE;jan-18;0
Várzea Branca;PI;NORDESTE;jan-18;0
Várzea Grande;PI;NORDESTE;jan-18;0
Vera Mendes;PI;NORDESTE;jan-18;0
Vila Nova Do Piauí;PI;NORDESTE;jan-18;0
Wall Ferraz;PI;NORDESTE;jan-18;0
Acauã;PI;NORDESTE;fev-18;0
Agricolândia;PI;NORDESTE;fev-18;0
Água Branca;PI;NORDESTE;fev-18;0
Alagoinha Do Piauí;PI;NORDESTE;fev-18;0
Alegrete Do Piauí;PI;NORDESTE;fev-18;0
Alto Longá;PI;NORDESTE;fev-18;0
Altos;PI;NORDESTE;fev-18;1
Alvorada Do Gurguéia;PI;NORDESTE;fev-18;0
Amarante;PI;NORDESTE;fev-18;0
Angical Do Piauí;PI;NORDESTE;fev-18;1
Anísio De Abreu;PI;NORDESTE;fev-18;0
Antônio Almeida;PI;NORDESTE;fev-18;0
Aroazes;PI;NORDESTE;fev-18;0
Aroeiras Do Itaim;PI;NORDESTE;fev-18;0
Arraial;PI;NORDESTE;fev-18;0
Assunção Do Piauí;PI;NORDESTE;fev-18;0
Avelino Lopes;PI;NORDESTE;fev-18;0
Baixa Grande Do Ribeiro;PI;NORDESTE;fev-18;0
Barra D'Alcântara;PI;NORDESTE;fev-18;0
Barras;PI;NORDESTE;fev-18;1
Barreiras Do Piauí;PI;NORDESTE;fev-18;0
Barro Duro;PI;NORDESTE;fev-18;0
Batalha;PI;NORDESTE;fev-18;0
Bela Vista Do Piauí;PI;NORDESTE;fev-18;0
Belém Do Piauí;PI;NORDESTE;fev-18;0
Beneditinos;PI;NORDESTE;fev-18;1
Bertolínia;PI;NORDESTE;fev-18;0
Betânia Do Piauí;PI;NORDESTE;fev-18;0
Boa Hora;PI;NORDESTE;fev-18;0
Bocaina;PI;NORDESTE;fev-18;0
Bom Jesus;PI;NORDESTE;fev-18;0
Bom Princípio Do Piauí;PI;NORDESTE;fev-18;0
Bonfim Do Piauí;PI;NORDESTE;fev-18;0
Boqueirão Do Piauí;PI;NORDESTE;fev-18;0
Brasileira;PI;NORDESTE;fev-18;0
Brejo Do Piauí;PI;NORDESTE;fev-18;0
Buriti Dos Lopes;PI;NORDESTE;fev-18;0
Buriti Dos Montes;PI;NORDESTE;fev-18;0
Cabeceiras Do Piauí;PI;NORDESTE;fev-18;0
Cajazeiras Do Piauí;PI;NORDESTE;fev-18;0
Cajueiro Da Praia;PI;NORDESTE;fev-18;0
Caldeirão Grande Do Piauí;PI;NORDESTE;fev-18;0
Campinas Do Piauí;PI;NORDESTE;fev-18;0
Campo Alegre Do Fidalgo;PI;NORDESTE;fev-18;0
Campo Grande Do Piauí;PI;NORDESTE;fev-18;0
Campo Largo Do Piauí;PI;NORDESTE;fev-18;0
Campo Maior;PI;NORDESTE;fev-18;0
Canavieira;PI;NORDESTE;fev-18;0
Canto Do Buriti;PI;NORDESTE;fev-18;0
Capitão De Campos;PI;NORDESTE;fev-18;0
Capitão Gervásio Oliveira;PI;NORDESTE;fev-18;0
Caracol;PI;NORDESTE;fev-18;0
Caraúbas Do Piauí;PI;NORDESTE;fev-18;0
Caridade Do Piauí;PI;NORDESTE;fev-18;0
Castelo Do Piauí;PI;NORDESTE;fev-18;0
Caxingó;PI;NORDESTE;fev-18;0
Cocal;PI;NORDESTE;fev-18;0
Cocal De Telha;PI;NORDESTE;fev-18;0
Cocal Dos Alves;PI;NORDESTE;fev-18;0
Coivaras;PI;NORDESTE;fev-18;0
Colônia Do Gurguéia;PI;NORDESTE;fev-18;0
Colônia Do Piauí;PI;NORDESTE;fev-18;0
Conceição Do Canindé;PI;NORDESTE;fev-18;0
Coronel José Dias;PI;NORDESTE;fev-18;0
Corrente;PI;NORDESTE;fev-18;0
Cristalândia Do Piauí;PI;NORDESTE;fev-18;0
Cristino Castro;PI;NORDESTE;fev-18;0
Curimatá;PI;NORDESTE;fev-18;1
Currais;PI;NORDESTE;fev-18;0
Curralinhos;PI;NORDESTE;fev-18;0
Curral Novo Do Piauí;PI;NORDESTE;fev-18;0
Demerval Lobão;PI;NORDESTE;fev-18;0
Dirceu Arcoverde;PI;NORDESTE;fev-18;0
Dom Expedito Lopes;PI;NORDESTE;fev-18;0
Domingos Mourão;PI;NORDESTE;fev-18;0
Dom Inocêncio;PI;NORDESTE;fev-18;0
Elesbão Veloso;PI;NORDESTE;fev-18;0
Eliseu Martins;PI;NORDESTE;fev-18;0
Esperantina;PI;NORDESTE;fev-18;1
Fartura Do Piauí;PI;NORDESTE;fev-18;0
Flores Do Piauí;PI;NORDESTE;fev-18;0
Floresta Do Piauí;PI;NORDESTE;fev-18;0
Floriano;PI;NORDESTE;fev-18;0
Francinópolis;PI;NORDESTE;fev-18;0
Francisco Ayres;PI;NORDESTE;fev-18;0
Francisco Macedo;PI;NORDESTE;fev-18;0
Francisco Santos;PI;NORDESTE;fev-18;0
Fronteiras;PI;NORDESTE;fev-18;0
Geminiano;PI;NORDESTE;fev-18;0
Gilbués;PI;NORDESTE;fev-18;0
Guadalupe;PI;NORDESTE;fev-18;0
Guaribas;PI;NORDESTE;fev-18;0
Hugo Napoleão;PI;NORDESTE;fev-18;0
Ilha Grande;PI;NORDESTE;fev-18;0
Inhuma;PI;NORDESTE;fev-18;0
Ipiranga Do Piauí;PI;NORDESTE;fev-18;0
Isaías Coelho;PI;NORDESTE;fev-18;0
Itainópolis;PI;NORDESTE;fev-18;0
Itaueira;PI;NORDESTE;fev-18;0
Jacobina Do Piauí;PI;NORDESTE;fev-18;1
Jaicós;PI;NORDESTE;fev-18;0
Jardim Do Mulato;PI;NORDESTE;fev-18;0
Jatobá Do Piauí;PI;NORDESTE;fev-18;0
Jerumenha;PI;NORDESTE;fev-18;1
João Costa;PI;NORDESTE;fev-18;0
Joaquim Pires;PI;NORDESTE;fev-18;0
Joca Marques;PI;NORDESTE;fev-18;0
José De Freitas;PI;NORDESTE;fev-18;1
Juazeiro Do Piauí;PI;NORDESTE;fev-18;0
Júlio Borges;PI;NORDESTE;fev-18;0
Jurema;PI;NORDESTE;fev-18;0
Lagoinha Do Piauí;PI;NORDESTE;fev-18;0
Lagoa Alegre;PI;NORDESTE;fev-18;0
Lagoa Do Barro Do Piauí;PI;NORDESTE;fev-18;0
Lagoa De São Francisco;PI;NORDESTE;fev-18;0
Lagoa Do Piauí;PI;NORDESTE;fev-18;0
Lagoa Do Sítio;PI;NORDESTE;fev-18;0
Landri Sales;PI;NORDESTE;fev-18;0
Luís Correia;PI;NORDESTE;fev-18;2
Luzilândia;PI;NORDESTE;fev-18;0
Madeiro;PI;NORDESTE;fev-18;0
Manoel Emídio;PI;NORDESTE;fev-18;0
Marcolândia;PI;NORDESTE;fev-18;0
Marcos Parente;PI;NORDESTE;fev-18;0
Massapê Do Piauí;PI;NORDESTE;fev-18;1
Matias Olímpio;PI;NORDESTE;fev-18;0
Miguel Alves;PI;NORDESTE;fev-18;0
Miguel Leão;PI;NORDESTE;fev-18;0
Milton Brandão;PI;NORDESTE;fev-18;0
Monsenhor Gil;PI;NORDESTE;fev-18;0
Monsenhor Hipólito;PI;NORDESTE;fev-18;0
Monte Alegre Do Piauí;PI;NORDESTE;fev-18;0
Morro Cabeça No Tempo;PI;NORDESTE;fev-18;0
Morro Do Chapéu Do Piauí;PI;NORDESTE;fev-18;0
Murici Dos Portelas;PI;NORDESTE;fev-18;0
Nazaré Do Piauí;PI;NORDESTE;fev-18;0
Nazária;PI;NORDESTE;fev-18;0
Nossa Senhora De Nazaré;PI;NORDESTE;fev-18;0
Nossa Senhora Dos Remédios;PI;NORDESTE;fev-18;1
Novo Oriente Do Piauí;PI;NORDESTE;fev-18;0
Novo Santo Antônio;PI;NORDESTE;fev-18;0
Oeiras;PI;NORDESTE;fev-18;0
Olho D'Água Do Piauí;PI;NORDESTE;fev-18;0
Padre Marcos;PI;NORDESTE;fev-18;0
Paes Landim;PI;NORDESTE;fev-18;0
Pajeú Do Piauí;PI;NORDESTE;fev-18;0
Palmeira Do Piauí;PI;NORDESTE;fev-18;0
Palmeirais;PI;NORDESTE;fev-18;0
Paquetá;PI;NORDESTE;fev-18;0
Parnaguá;PI;NORDESTE;fev-18;0
Parnaíba;PI;NORDESTE;fev-18;4
Passagem Franca Do Piauí;PI;NORDESTE;fev-18;0
Patos Do Piauí;PI;NORDESTE;fev-18;0
Pau D'Arco Do Piauí;PI;NORDESTE;fev-18;0
Paulistana;PI;NORDESTE;fev-18;0
Pavussu;PI;NORDESTE;fev-18;0
Pedro Ii;PI;NORDESTE;fev-18;3
Pedro Laurentino;PI;NORDESTE;fev-18;0
Nova Santa Rita;PI;NORDESTE;fev-18;0
Picos;PI;NORDESTE;fev-18;1
Pimenteiras;PI;NORDESTE;fev-18;1
Pio Ix;PI;NORDESTE;fev-18;0
Piracuruca;PI;NORDESTE;fev-18;0
Piripiri;PI;NORDESTE;fev-18;0
Porto;PI;NORDESTE;fev-18;1
Porto Alegre Do Piauí;PI;NORDESTE;fev-18;0
Prata Do Piauí;PI;NORDESTE;fev-18;0
Queimada Nova;PI;NORDESTE;fev-18;0
Redenção Do Gurguéia;PI;NORDESTE;fev-18;0
Regeneração;PI;NORDESTE;fev-18;0
Riacho Frio;PI;NORDESTE;fev-18;0
Ribeira Do Piauí;PI;NORDESTE;fev-18;0
Ribeiro Gonçalves;PI;NORDESTE;fev-18;0
Rio Grande Do Piauí;PI;NORDESTE;fev-18;0
Santa Cruz Do Piauí;PI;NORDESTE;fev-18;0
Santa Cruz Dos Milagres;PI;NORDESTE;fev-18;0
Santa Filomena;PI;NORDESTE;fev-18;0
Santa Luz;PI;NORDESTE;fev-18;0
Santana Do Piauí;PI;NORDESTE;fev-18;1
Santa Rosa Do Piauí;PI;NORDESTE;fev-18;0
Santo Antônio De Lisboa;PI;NORDESTE;fev-18;0
Santo Antônio Dos Milagres;PI;NORDESTE;fev-18;0
Santo Inácio Do Piauí;PI;NORDESTE;fev-18;0
São Braz Do Piauí;PI;NORDESTE;fev-18;0
São Félix Do Piauí;PI;NORDESTE;fev-18;0
São Francisco De Assis Do Piauí;PI;NORDESTE;fev-18;0
São Francisco Do Piauí;PI;NORDESTE;fev-18;0
São Gonçalo Do Gurguéia;PI;NORDESTE;fev-18;0
São Gonçalo Do Piauí;PI;NORDESTE;fev-18;0
São João Da Canabrava;PI;NORDESTE;fev-18;0
São João Da Fronteira;PI;NORDESTE;fev-18;0
São João Da Serra;PI;NORDESTE;fev-18;0
São João Da Varjota;PI;NORDESTE;fev-18;0
São João Do Arraial;PI;NORDESTE;fev-18;0
São João Do Piauí;PI;NORDESTE;fev-18;0
São José Do Divino;PI;NORDESTE;fev-18;0
São José Do Peixe;PI;NORDESTE;fev-18;0
São José Do Piauí;PI;NORDESTE;fev-18;0
São Julião;PI;NORDESTE;fev-18;0
São Lourenço Do Piauí;PI;NORDESTE;fev-18;0
São Luis Do Piauí;PI;NORDESTE;fev-18;0
São Miguel Da Baixa Grande;PI;NORDESTE;fev-18;0
São Miguel Do Fidalgo;PI;NORDESTE;fev-18;0
São Miguel Do Tapuio;PI;NORDESTE;fev-18;0
São Pedro Do Piauí;PI;NORDESTE;fev-18;0
São Raimundo Nonato;PI;NORDESTE;fev-18;0
Sebastião Barros;PI;NORDESTE;fev-18;0
Sebastião Leal;PI;NORDESTE;fev-18;0
Sigefredo Pacheco;PI;NORDESTE;fev-18;0
Simões;PI;NORDESTE;fev-18;0
Simplício Mendes;PI;NORDESTE;fev-18;0
Socorro Do Piauí;PI;NORDESTE;fev-18;0
Sussuapara;PI;NORDESTE;fev-18;0
Tamboril Do Piauí;PI;NORDESTE;fev-18;0
Tanque Do Piauí;PI;NORDESTE;fev-18;0
Teresina;PI;NORDESTE;fev-18;21
União;PI;NORDESTE;fev-18;1
Uruçuí;PI;NORDESTE;fev-18;0
Valença Do Piauí;PI;NORDESTE;fev-18;0
Várzea Branca;PI;NORDESTE;fev-18;0
Várzea Grande;PI;NORDESTE;fev-18;0
Vera Mendes;PI;NORDESTE;fev-18;0
Vila Nova Do Piauí;PI;NORDESTE;fev-18;0
Wall Ferraz;PI;NORDESTE;fev-18;0
Acauã;PI;NORDESTE;mar-18;0
Agricolândia;PI;NORDESTE;mar-18;0
Água Branca;PI;NORDESTE;mar-18;1
Alagoinha Do Piauí;PI;NORDESTE;mar-18;0
Alegrete Do Piauí;PI;NORDESTE;mar-18;0
Alto Longá;PI;NORDESTE;mar-18;0
Altos;PI;NORDESTE;mar-18;0
Alvorada Do Gurguéia;PI;NORDESTE;mar-18;0
Amarante;PI;NORDESTE;mar-18;0
Angical Do Piauí;PI;NORDESTE;mar-18;0
Anísio De Abreu;PI;NORDESTE;mar-18;0
Antônio Almeida;PI;NORDESTE;mar-18;0
Aroazes;PI;NORDESTE;mar-18;0
Aroeiras Do Itaim;PI;NORDESTE;mar-18;0
Arraial;PI;NORDESTE;mar-18;0
Assunção Do Piauí;PI;NORDESTE;mar-18;0
Avelino Lopes;PI;NORDESTE;mar-18;0
Baixa Grande Do Ribeiro;PI;NORDESTE;mar-18;0
Barra D'Alcântara;PI;NORDESTE;mar-18;0
Barras;PI;NORDESTE;mar-18;1
Barreiras Do Piauí;PI;NORDESTE;mar-18;0
Barro Duro;PI;NORDESTE;mar-18;0
Batalha;PI;NORDESTE;mar-18;0
Bela Vista Do Piauí;PI;NORDESTE;mar-18;0
Belém Do Piauí;PI;NORDESTE;mar-18;0
Beneditinos;PI;NORDESTE;mar-18;0
Bertolínia;PI;NORDESTE;mar-18;0
Betânia Do Piauí;PI;NORDESTE;mar-18;0
Boa Hora;PI;NORDESTE;mar-18;0
Bocaina;PI;NORDESTE;mar-18;0
Bom Jesus;PI;NORDESTE;mar-18;0
Bom Princípio Do Piauí;PI;NORDESTE;mar-18;0
Bonfim Do Piauí;PI;NORDESTE;mar-18;0
Boqueirão Do Piauí;PI;NORDESTE;mar-18;0
Brasileira;PI;NORDESTE;mar-18;0
Brejo Do Piauí;PI;NORDESTE;mar-18;0
Buriti Dos Lopes;PI;NORDESTE;mar-18;0
Buriti Dos Montes;PI;NORDESTE;mar-18;0
Cabeceiras Do Piauí;PI;NORDESTE;mar-18;0
Cajazeiras Do Piauí;PI;NORDESTE;mar-18;0
Cajueiro Da Praia;PI;NORDESTE;mar-18;0
Caldeirão Grande Do Piauí;PI;NORDESTE;mar-18;0
Campinas Do Piauí;PI;NORDESTE;mar-18;0
Campo Alegre Do Fidalgo;PI;NORDESTE;mar-18;0
Campo Grande Do Piauí;PI;NORDESTE;mar-18;0
Campo Largo Do Piauí;PI;NORDESTE;mar-18;0
Campo Maior;PI;NORDESTE;mar-18;1
Canavieira;PI;NORDESTE;mar-18;1
Canto Do Buriti;PI;NORDESTE;mar-18;1
Capitão De Campos;PI;NORDESTE;mar-18;0
Capitão Gervásio Oliveira;PI;NORDESTE;mar-18;0
Caracol;PI;NORDESTE;mar-18;0
Caraúbas Do Piauí;PI;NORDESTE;mar-18;0
Caridade Do Piauí;PI;NORDESTE;mar-18;0
Castelo Do Piauí;PI;NORDESTE;mar-18;0
Caxingó;PI;NORDESTE;mar-18;0
Cocal;PI;NORDESTE;mar-18;0
Cocal De Telha;PI;NORDESTE;mar-18;0
Cocal Dos Alves;PI;NORDESTE;mar-18;0
Coivaras;PI;NORDESTE;mar-18;0
Colônia Do Gurguéia;PI;NORDESTE;mar-18;0
Colônia Do Piauí;PI;NORDESTE;mar-18;0
Conceição Do Canindé;PI;NORDESTE;mar-18;0
Coronel José Dias;PI;NORDESTE;mar-18;0
Corrente;PI;NORDESTE;mar-18;0
Cristalândia Do Piauí;PI;NORDESTE;mar-18;0
Cristino Castro;PI;NORDESTE;mar-18;0
Curimatá;PI;NORDESTE;mar-18;0
Currais;PI;NORDESTE;mar-18;0
Curralinhos;PI;NORDESTE;mar-18;0
Curral Novo Do Piauí;PI;NORDESTE;mar-18;0
Demerval Lobão;PI;NORDESTE;mar-18;0
Dirceu Arcoverde;PI;NORDESTE;mar-18;0
Dom Expedito Lopes;PI;NORDESTE;mar-18;0
Domingos Mourão;PI;NORDESTE;mar-18;0
Dom Inocêncio;PI;NORDESTE;mar-18;0
